Comment,Designator,Footprint,LCSC Part #
"1u","C600, C607, C609, C610, C611","C0402","C52923"
"100n","C601, C602, C605, C608, C612, C613, C614, C615, C617, C618","C0402","C1525"
"33n","C603","C0402","C1585"
"4.7u","C616","C0603","C19666"
"LED-RED-0603","D600, D603","LED-0603","C2286"
"LED-GREEN-0603","D601","LED-0603","C72043"
"LED-BLUE-0603","D602","LED-0603","C72041"
"PESD1CAN","D604","SOT-23","C343993"
"VND7NV04TR-E","Q600","DPAK","C155605"
"1k","R600, R601, R616, R617, R622, R626, R627, R628","R0402","C11702"
"68k","R602, R603","R0402","C36871"
"10k","R604, R605, R613, R614, R618, R619, R625","R0402","C25744"
"10","R606","R0402","C25077"
"22k","R607","R0402","C25768"
"47","R608","R0402","C25118"
"61.9","R609","R0603","C23092"
"20k","R610, R611, R612","R0402","C25765"
"100k","R615, R621","R0402","C25741"
"27k","R620, R623","R0402","C25771"
"3.3k","R624","R0402","C25890"
"MCP6004","U600","TSSOP14","C50282"
"AD8628","U601","TSOT23-5","C29309"
"STM32F042K6Tx","U602","LQFP32","C69216"
"REF3033","U603","SOT-23","C36658"
"XC6206P332MR","U604","SOT-23","C5446"
"TJA1051T/3/1J","U605","SO-8_3.9x4.9mm_P1.27mm","C38695"
"nSMD050-24V","F42333310","SMD1206","C70076"
