Designator,Mid X,Mid Y,Layer,Rotation
C601,10.344999999999999mm,4.835mm,Bottom,270.0
C602,9.395mm,4.835mm,Bottom,270.0
C603,9.395mm,2.635mm,Bottom,90.0
C604,8.445mm,4.835mm,Bottom,270.0
C605,22.27mm,3.1766680000000003mm,Bottom,0.0
C606,8.445mm,2.635mm,Bottom,270.0
C607,25.945mm,7.06mm,Bottom,0.0
C608,8.67mm,13.31mm,Bottom,180.0
C617,2.845mm,10.659628mm,Bottom,270.0
C618,5.269936mm,5.06mm,Bottom,0.0
D604,4.87mm,2.885mm,Bottom,180.0
R602,17.17mm,7.935mm,Bottom,180.0
R603,16.395mm,9.935mm,Bottom,0.0
R604,10.344999999999999mm,2.635mm,Bottom,90.0
R605,16.37mm,8.935mm,Bottom,180.0
R606,24.970000000000002mm,8.21mm,Bottom,180.0
R607,22.27mm,2.11mm,Bottom,180.0
R608,18.27mm,8.935mm,Bottom,0.0
R609,11.27mm,13.285mm,Bottom,180.0
R610,20.345000000000002mm,5.685mm,Bottom,180.0
R611,22.27mm,5.685mm,Bottom,180.0
R612,22.27mm,4.418334mm,Bottom,0.0
R613,12.245000000000001mm,11.584999999999999mm,Bottom,90.0
R614,8.665709mm,12.36mm,Bottom,0.0
R615,10.719999999999999mm,11.885mm,Bottom,0.0
R616,25.92mm,11.86mm,Bottom,180.0
R618,13.645mm,9.935mm,Bottom,180.0
R619,14.469999999999999mm,8.935mm,Bottom,180.0
R620,14.469999999999999mm,7.935mm,Bottom,0.0
R621,2.845mm,12.795mm,Bottom,270.0
R622,23.970000000000002mm,11.86mm,Bottom,0.0
R623,12.594999999999999mm,7.935mm,Bottom,180.0
R624,8.67mm,14.26mm,Bottom,0.0
R629,2.8550000000000004mm,8.648652mm,Bottom,90.0
R630,17.685000000000002mm,11.375mm,Bottom,180.0
U600,14.895mm,4.385mm,Bottom,270.0
U601,5.545mm,13.31mm,Bottom,0.0
U605,7.045mm,8.584628mm,Bottom,180.0
C600,17.1325mm,3.01mm,Top,270.0
C609,8.82mm,4.435mm,Top,270.0
C610,3.422mm,10.985mm,Top,0.0
C611,18.245mm,9.085mm,Top,270.0
C612,18.245mm,10.985mm,Top,90.0
C613,4.32mm,6.46mm,Top,0.0
C614,18.245mm,6.96mm,Top,90.0
C615,8.145mm,13.76mm,Top,90.0
C616,6.47mm,8.9225mm,Top,270.0
D600,26.845000000000002mm,3.8600000000000003mm,Top,90.0
D601,14.07mm,2.535mm,Top,180.0
D602,11.094999999999999mm,2.535mm,Top,0.0
D603,6.56255mm,13.365mm,Top,270.0
Q600,22.405mm,7.085mm,Top,90.0
Q601,22.495mm,13.76mm,Top,180.0
R600,18.195mm,4.91mm,Top,270.0
R601,18.195mm,3.01mm,Top,270.0
R617,16.945mm,13.76mm,Top,90.0
R625,6.295mm,6.435mm,Top,0.0
R626,16.07mm,3.01mm,Top,270.0
R627,8.945mm,2.56mm,Top,270.0
R628,6.07mm,10.985mm,Top,180.0
U602,12.594999999999999mm,9.235mm,Top,90.0
U603,3.97mm,13.235mm,Top,270.0
U604,4.02mm,8.76mm,Top,0.0
